date,infections,infectionslower,infectionsupper
12/07/2020,0.04,0.03,0.06
19/07/2020,0.05,0.03,0.07
26/07/2020,0.07,0.04,0.1
02/08/2020,0.05,0.03,0.07
09/08/2020,0.05,0.03,0.07
13/08/2020,0.05,0.03,0.06
20/08/2020,0.05,0.04,0.07
25/08/2020,0.05,0.04,0.07
05/09/2020,0.07,0.05,0.1
10/09/2020,0.11,0.09,0.14
19/09/2020,0.19,0.16,0.23
24/09/2020,0.21,0.18,0.24
01/10/2020,0.41,0.37,0.45
08/10/2020,0.62,0.57,0.66
16/10/2020,0.79,0.75,0.84
23/10/2020,1.04,0.98,1.1
31/10/2020,1.13,1.07,1.2
06/11/2020,1.2,1.14,1.27
14/11/2020,1.22,1.15,1.29
21/11/2020,1.16,1.1,1.23
